"paID","ecoID","hri_5","hri_10","hri_15","hri_20","hri_25","hri_30","hri_35","hri_40","hri_45","hri_50","hri_55","hri_60","hri_65","hri_70","hri_75","hri_80","hri_85","hri_90","hri_95","hri_100"
200403,81001,0.904697986577181,0.863087248322148,0.824161073825503,0.793288590604027,0.771812080536913,0.742953020134228,0.720805369127517,0.69261744966443,0.668456375838926,0.642953020134228,0.616778523489933,0.596644295302013,0.564429530201342,0.523489932885906,0.475167785234899,0.430201342281879,0.371140939597315,0.280536912751678,0.143624161073826,0
68519,81001,0.919205298013245,0.872847682119205,0.839072847682119,0.8,0.760264900662252,0.720529801324503,0.691390728476821,0.655629139072848,0.613907284768212,0.583443708609272,0.541059602649007,0.503973509933775,0.472185430463576,0.429139072847682,0.386092715231788,0.32317880794702,0.252317880794702,0.181456953642384,0.0966887417218543,0
16253,81001,0.888073394495413,0.84954128440367,0.820183486238532,0.801834862385321,0.78348623853211,0.763302752293578,0.726605504587156,0.706422018348624,0.680733944954128,0.647706422018349,0.620183486238532,0.579816513761468,0.543119266055046,0.500917431192661,0.447706422018349,0.379816513761468,0.297247706422018,0.218348623853211,0.124770642201835,0
1672,81001,0.958579881656805,0.920118343195266,0.890532544378698,0.831360946745562,0.792899408284024,0.724852071005917,0.662721893491124,0.609467455621302,0.559171597633136,0.514792899408284,0.473372781065089,0.417159763313609,0.334319526627219,0.298816568047337,0.239644970414201,0.189349112426035,0.130177514792899,0.0798816568047337,0.0355029585798817,0
315730,81002,0.930356117174038,0.906447443997702,0.884908098793797,0.865450890292935,0.846568064330844,0.821797817346353,0.795160827110856,0.764862148190695,0.725804135554279,0.680643308443423,0.636559448592763,0.580772544514647,0.526206203331419,0.466614014933946,0.396898334290638,0.320433658816772,0.238440551407237,0.145390580126364,0.0575100516944285,0
96078,81002,0.911888111888112,0.887412587412587,0.863636363636364,0.842657342657343,0.82027972027972,0.81048951048951,0.793006993006993,0.772727272727273,0.747552447552448,0.718881118881119,0.679020979020979,0.642657342657343,0.587412587412587,0.53006993006993,0.465034965034965,0.384615384615385,0.294405594405594,0.179020979020979,0.0853146853146853,0
95786,81002,0.909958733638532,0.875939776903733,0.845463924173061,0.816139016055194,0.788584047972145,0.762412147785157,0.736885034496099,0.71146108711071,0.686069379070217,0.659475143465085,0.630859500934941,0.599980656393062,0.566396930814366,0.528122380553227,0.485782448900638,0.438677542072345,0.384418724611516,0.315497453091753,0.217148107550455,0
26157,81003,0.910791366906475,0.882014388489209,0.850359712230216,0.818705035971223,0.77410071942446,0.752517985611511,0.729496402877698,0.693525179856115,0.651798561151079,0.627338129496403,0.597122302158273,0.546762589928058,0.503597122302158,0.440287769784173,0.389928057553957,0.341007194244604,0.279136690647482,0.20431654676259,0.0877697841726619,0
95784,81003,0.925722145804677,0.889958734525447,0.84869325997249,0.815680880330124,0.782668500687758,0.744154057771664,0.705639614855571,0.669876203576341,0.636863823933975,0.59697386519945,0.558459422283356,0.507565337001376,0.462173314993122,0.416781292984869,0.353507565337001,0.28748280605227,0.242090784044017,0.159559834938102,0.0687757909215956,0
803,81003,0.918678526048285,0.891994917407878,0.866581956797967,0.836086404066074,0.801143583227446,0.770648030495553,0.737611181702668,0.710927573062262,0.667725540025413,0.629606099110546,0.59148665819568,0.539390088945362,0.490470139771283,0.426302414231258,0.367217280813215,0.294790343074968,0.210292249047014,0.140406607369759,0.0590851334180432,0
26606,81003,0.915774446823697,0.878658101356174,0.840827980014276,0.810135617416131,0.778729478943612,0.743754461099215,0.714489650249822,0.670949321912919,0.633119200571021,0.598857958600999,0.556031406138473,0.513204853675946,0.466809421841542,0.428265524625268,0.37615988579586,0.308351177730193,0.232690935046395,0.160599571734475,0.0699500356887937,0
95783,81003,0.919015319845632,0.894690679452696,0.875160799906444,0.856449538065723,0.838089112384516,0.819085487077535,0.799087825985265,0.77505554905859,0.752602034849725,0.726055432113203,0.696994503566834,0.662027833001988,0.621096947725412,0.577008537013215,0.522044205356099,0.460998713600748,0.387089229329903,0.295404046310373,0.179335750204654,0
26156,81003,0.92046077893582,0.891387822270982,0.855732309380143,0.825013713658804,0.803620405924301,0.77838727372463,0.752605595172792,0.712561711464619,0.67855183763028,0.645639056500274,0.606692265496434,0.570488206253428,0.523313219967087,0.470104223806912,0.423477783872737,0.360943499725727,0.286341195831048,0.205156335710368,0.105869445968184,0
2007,81003,0.906158357771261,0.872922776148583,0.832844574780059,0.812316715542522,0.792766373411535,0.767350928641251,0.741935483870968,0.726295210166178,0.711632453567937,0.684261974584555,0.656891495601173,0.625610948191593,0.583577712609971,0.543499511241447,0.493646138807429,0.434017595307918,0.354838709677419,0.262952101661779,0.142717497556207,0
10091,81003,0.896784381280505,0.857881136950904,0.821561871949469,0.790410565604364,0.75983347688774,0.728969279356876,0.696669537754809,0.668819982773471,0.632931380993397,0.597616996841803,0.562876830318691,0.527706000574218,0.490812517944301,0.453488372093023,0.40869939707149,0.359029572207867,0.297301177146138,0.224662647143267,0.12991673844387,0
902668,81003,0.91207034372502,0.881161737276845,0.853450572875033,0.820143884892086,0.782307487343459,0.747135624833467,0.712496669331202,0.677591260325073,0.638422595257128,0.600053290700773,0.554223288036238,0.505728750333067,0.459365840660805,0.405009325872635,0.341326938449241,0.278976818545164,0.209166000532907,0.132160937916334,0.0636823874233946,0
26155,81003,0.907911802853437,0.885862516212711,0.859922178988327,0.836575875486381,0.824902723735409,0.797665369649806,0.776913099870298,0.753566796368353,0.717250324254215,0.673151750972763,0.630350194552529,0.586251621271077,0.535667963683528,0.464332036316472,0.392996108949416,0.333333333333333,0.243839169909209,0.173800259403372,0.0869001297016861,0
71350,81003,0.916552978626649,0.88631195998181,0.854934060936789,0.821282401091405,0.780809458844929,0.745338790359254,0.711459754433834,0.668485675306958,0.628012733060482,0.587085038653934,0.543656207366985,0.492951341518872,0.445202364711232,0.388358344702137,0.327194179172351,0.265347885402456,0.193724420190996,0.122783083219645,0.0468394724874943,0
301953,81003,0.925843990544882,0.908327777441057,0.890781259470271,0.872931692829868,0.853142614703921,0.835080913994788,0.814443299593915,0.793290502454694,0.76910721861931,0.741590399418147,0.712285593066246,0.678435056670101,0.638038669010243,0.591975271228559,0.536093096551306,0.47181647372568,0.390478210800655,0.292896539184193,0.170707315594885,0
