"paID","ecoID","hri_5","hri_10","hri_15","hri_20","hri_25","hri_30","hri_35","hri_40","hri_45","hri_50","hri_55","hri_60","hri_65","hri_70","hri_75","hri_80","hri_85","hri_90","hri_95","hri_100"
19944,50602,0.778247096092925,0.740232312565998,0.711721224920803,0.684266103484689,0.652587117212249,0.628299894403379,0.598732840549102,0.571277719112988,0.542766631467793,0.514255543822598,0.495248152059134,0.463569165786695,0.430834213305174,0.40337909186906,0.361140443505808,0.31467793030623,0.271383315733897,0.224920802534319,0.155227032734952,0
555515868,50602,0.9375,0.922619047619048,0.916666666666667,0.907738095238095,0.889880952380952,0.863095238095238,0.851190476190476,0.830357142857143,0.81547619047619,0.791666666666667,0.767857142857143,0.74702380952381,0.696428571428571,0.651785714285714,0.62202380952381,0.577380952380952,0.529761904761905,0.464285714285714,0.291666666666667,0
555515872,50602,0.49,0.42,0.41,0.4,0.36,0.35,0.33,0.31,0.29,0.28,0.23,0.23,0.18,0.18,0.18,0.15,0.15,0.11,0.09,0
167204,50602,0.881422924901186,0.83399209486166,0.784584980237154,0.75296442687747,0.715415019762846,0.675889328063241,0.624505928853755,0.58498023715415,0.551383399209486,0.521739130434783,0.494071146245059,0.452569169960474,0.401185770750988,0.345849802371542,0.302371541501976,0.25296442687747,0.211462450592885,0.16403162055336,0.102766798418972,0
23123,50602,0.680161943319838,0.639676113360324,0.59919028340081,0.558704453441296,0.522267206477733,0.469635627530364,0.453441295546559,0.388663967611336,0.37246963562753,0.331983805668016,0.307692307692308,0.295546558704453,0.279352226720648,0.255060728744939,0.234817813765182,0.190283400809717,0.157894736842105,0.125506072874494,0.0890688259109312,0
555515952,50602,0.880733944954128,0.81651376146789,0.788990825688073,0.724770642201835,0.688073394495413,0.623853211009174,0.596330275229358,0.55045871559633,0.541284403669725,0.522935779816514,0.504587155963303,0.477064220183486,0.440366972477064,0.412844036697248,0.385321100917431,0.293577981651376,0.220183486238532,0.137614678899083,0.110091743119266,0
167576,50602,0.864857302742026,0.826804700615557,0.795747062115277,0.768047006155568,0.744683827644096,0.71782316731953,0.691801902630106,0.666759932848349,0.642697257974259,0.617375489647454,0.590654728595411,0.561695579182988,0.527560156687185,0.491466144376049,0.447397873531058,0.401650811415781,0.344711807498601,0.283156127588137,0.187045327364298,0
19794,50602,0.839160839160839,0.839160839160839,0.839160839160839,0.804195804195804,0.797202797202797,0.776223776223776,0.769230769230769,0.741258741258741,0.72027972027972,0.699300699300699,0.692307692307692,0.671328671328671,0.636363636363636,0.573426573426573,0.545454545454545,0.475524475524476,0.426573426573427,0.391608391608392,0.272727272727273,0
555515845,50602,0.400894187779434,0.360655737704918,0.329359165424739,0.315946348733234,0.301043219076006,0.286140089418778,0.275707898658718,0.263785394932936,0.247391952309985,0.236959761549925,0.229508196721311,0.213114754098361,0.205663189269747,0.19672131147541,0.189269746646796,0.180327868852459,0.156482861400894,0.135618479880775,0.110283159463487,0
167246,50602,0.962264150943396,0.955974842767296,0.943396226415094,0.943396226415094,0.924528301886792,0.89937106918239,0.893081761006289,0.886792452830189,0.849056603773585,0.836477987421384,0.786163522012579,0.754716981132076,0.723270440251572,0.70440251572327,0.641509433962264,0.559748427672956,0.50314465408805,0.408805031446541,0.283018867924528,0
555515970,50602,0.436507936507937,0.373015873015873,0.349206349206349,0.325396825396825,0.26984126984127,0.238095238095238,0.238095238095238,0.206349206349206,0.174603174603175,0.174603174603175,0.166666666666667,0.158730158730159,0.142857142857143,0.134920634920635,0.111111111111111,0.111111111111111,0.0952380952380952,0.0793650793650794,0.0555555555555556,0
77772,50603,0.10194624652456,0.0769230769230769,0.0658016682113068,0.0593141797961075,0.0537534754402224,0.0481927710843374,0.0426320667284523,0.0370713623725672,0.036144578313253,0.0324374420759963,0.0324374420759963,0.0278035217794254,0.0250231696014829,0.0213160333642261,0.0176088971269694,0.0139017608897127,0.010194624652456,0.00834105653382762,0.00556070435588508,0
307566,50603,0.336936936936937,0.311711711711712,0.306306306306306,0.277477477477477,0.257657657657658,0.243243243243243,0.237837837837838,0.218018018018018,0.209009009009009,0.194594594594595,0.183783783783784,0.174774774774775,0.167567567567568,0.16036036036036,0.140540540540541,0.127927927927928,0.111711711711712,0.0990990990990991,0.0828828828828829,0
2933,50603,0.679269328802039,0.612574341546304,0.556924384027188,0.508071367884452,0.449022939677145,0.401019541206457,0.35429056924384,0.316057774001699,0.291418861512319,0.273152081563297,0.253186066270178,0.231945624468989,0.212829226847918,0.1928632115548,0.17714528462192,0.153780798640612,0.127867459643161,0.0926083262531861,0.0412064570943076,0
306285,50603,0.116995073891626,0.0997536945812808,0.0886699507389163,0.082512315270936,0.0763546798029557,0.0714285714285714,0.0701970443349754,0.0665024630541872,0.061576354679803,0.0578817733990148,0.0554187192118227,0.0517241379310345,0.0492610837438424,0.0467980295566502,0.041871921182266,0.0320197044334975,0.0307881773399015,0.0246305418719212,0.020935960591133,0
306284,50603,0.219557195571956,0.212177121771218,0.190036900369004,0.175276752767528,0.169741697416974,0.16789667896679,0.160516605166052,0.153136531365314,0.151291512915129,0.145756457564576,0.140221402214022,0.125461254612546,0.116236162361624,0.11070110701107,0.0940959409594096,0.0922509225092251,0.0774907749077491,0.0682656826568266,0.0571955719557196,0
370676,50603,0.228571428571429,0.195238095238095,0.185714285714286,0.161904761904762,0.147619047619048,0.128571428571429,0.119047619047619,0.104761904761905,0.1,0.0952380952380952,0.0904761904761905,0.0904761904761905,0.0904761904761905,0.080952380952381,0.0619047619047619,0.0523809523809524,0.0333333333333333,0.0142857142857143,0.00476190476190476,0
375704,50603,0.7,0.68,0.66,0.645,0.63,0.615,0.61,0.6,0.585,0.515,0.49,0.47,0.44,0.415,0.385,0.345,0.31,0.245,0.175,0
370611,50603,0.346020761245675,0.301038062283737,0.283737024221453,0.256055363321799,0.224913494809689,0.207612456747405,0.183391003460208,0.152249134948097,0.121107266435986,0.107266435986159,0.0830449826989619,0.0657439446366782,0.055363321799308,0.0449826989619377,0.0311418685121107,0.0173010380622837,0.013840830449827,0.0103806228373702,0.00346020761245675,0
